date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:11:19	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Feb%202023%2019:11:19%20GMT	http://www.wpkixx.com/robots.txt		(from )
01:11:20	72794/72794	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202019%2011:49:06%20GMT	http://www.wpkixx.com/html/winku-dark/	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/index.html	(from )
01:11:20	1627/1627	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Jul%202018%2005:36:56%20GMT	http://www.wpkixx.com/html/winku-dark/images/fav.png	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/images/fav.png	(from http://www.wpkixx.com/html/winku-dark/)
01:11:21	426141/426141	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Oct%202018%2013:35:48%20GMT	http://www.wpkixx.com/html/winku-dark/css/main.min.css	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/css/main.min.css	(from http://www.wpkixx.com/html/winku-dark/)
01:11:21	195126/195126	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2004:58:06%20GMT	http://www.wpkixx.com/html/winku-dark/css/style.css	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/css/style.css	(from http://www.wpkixx.com/html/winku-dark/)
01:11:22	4498/4498	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202019%2001:19:32%20GMT	http://www.wpkixx.com/html/winku-dark/css/color.css	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/css/color.css	(from http://www.wpkixx.com/html/winku-dark/)
01:11:23	37119/37119	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2004:58:11%20GMT	http://www.wpkixx.com/html/winku-dark/css/responsive.css	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/css/responsive.css	(from http://www.wpkixx.com/html/winku-dark/)
01:11:23	7178/7178	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202019%2012:18:50%20GMT	http://www.wpkixx.com/html/winku-dark/css/dark-theme.css	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/css/dark-theme.css	(from http://www.wpkixx.com/html/winku-dark/)
01:11:24	72765/72765	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202019%2011:51:22%20GMT	http://www.wpkixx.com/html/winku-dark/newsfeed.html	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/newsfeed.html	(from http://www.wpkixx.com/html/winku-dark/)
01:11:24	2391/2391	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Jul%202018%2019:59:10%20GMT	http://www.wpkixx.com/html/winku-dark/images/logo2.png	C:/Users/FARHAN/Downloads/sas/www.wpkixx.com/html/winku-dark/images/logo2.png	(from http://www.wpkixx.com/html/winku-dark/)
